"재범기간및종류별(1)",재범기간및종류별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"재범기간및종류별(1)",재범기간및종류별(2),합계,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범
"재범기간및종류별(1)",재범기간및종류별(2),소계,소계,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),위조범죄,위조범죄,위조범죄,위조범죄,위조범죄,공무원범죄,공무원범죄,공무원범죄,공무원범죄,공무원범죄,풍속범죄,풍속범죄,풍속범죄,풍속범죄,과실범죄,과실범죄,과실범죄,과실범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,소계,개발제한구역의지정및관리에관한특별조치법,개인정보보호법,건축법,게임산업진흥에관한법률,경범죄처벌법,공유재산및물품관리법,공인중개사법,공중위생관리법,공직선거법,교통사고처리특례법,국민체육진흥법,국토의계획및이용에관한법률,근로기준법,근로자퇴직급여보장법,농수산물의원산지표시에관한법률,농지법,대기환경보전법,대부업등의등록및금융이용자보호에관한법률,도로교통법,도로법,마약류관리에관한법률,물환경보전법,병역법,부정경쟁방지및영업비밀보호에관한법률,부정수표단속법,사행행위등규제및처벌특례법,산림자원의조성및관리에관한법률,산업안전보건법,산지관리법,상표법,선박안전법,선박직원법,성매매알선등행위의처벌에관한법률,수산업법,수산자원관리법,식품위생법,아동·청소년의성보호에관한법률(성매수등),아동·청소년의성보호에관한법률(성착취물등),아동복지법,여객자동차운수사업법,여신전문금융업법,예비군법,외국환거래법,의료법,자동차관리법,자동차손해배상보장법,저작권법,전자금융거래법,정보통신망이용촉진및정보보호등에관한법률,조세범처벌법,주민등록법,청소년보호법,축산물위생관리법,출입국관리법,통신비밀보호법,특가법(도주차량),폐기물관리법,풍속영업의규제에관한법률,학원의설립운영및과외교습에관한법률,화물자동차운수사업법,기타특별법
"재범기간및종류별(1)",재범기간및종류별(2),소계,소계,소계,절도,장물,사기,횡령,배임,손괴,소계,살인,강도,방화,성폭력,소계,폭행,상해,협박,공갈,약취와유인,체포와감금,폭력행위등(손괴강요주거침입등),폭력행위등(단체등의구성·활동),소계,통화,유가증권·인지·우표,문서,인장,소계,직무유기,직권남용,수뢰,증뢰,소계,도박과복표,신앙,기타음란행위,소계,과실치사상,업무상과실치사상,실화,소계,명예,권리행사방해,신용업무경매,주거침입,비밀침해,유기,교통방해,공무방해,도주와범인은닉,위증과증거인멸,무고,공안을해하는죄,내란의죄,음용수에관한죄,일수와수리에관한죄,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",소계,26906,21830,14053,8150,88,4883,485,1,446,829,-,198,23,608,5733,2635,1560,257,906,9,133,215,18,498,3,-,484,11,-,-,-,-,-,39,28,-,11,22,6,-,16,656,193,67,80,223,-,-,-,76,6,3,3,3,-,-,-,2,5076,-,-,-,19,42,-,-,1,5,844,6,-,-,-,-,-,-,4,2439,1,35,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,109,72,17,4,43,-,-,2,221,241,5,36,100,-,398,152,-,-,-,120,-,-,-,-,139
"동종재범",소계,13799,11483,7580,4336,45,2741,253,1,204,392,-,113,10,269,2959,1361,790,131,469,3,74,123,8,241,1,-,235,5,-,-,-,-,-,10,6,-,4,7,1,-,6,294,81,43,32,96,-,-,-,35,3,1,1,1,-,-,-,1,2316,-,-,-,6,17,-,-,-,4,403,-,-,-,-,-,-,-,3,1140,-,12,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,47,38,8,1,23,-,-,1,87,108,3,11,37,-,186,68,-,-,-,43,-,-,-,-,58
"동종재범",1개월 이내,2662,2417,1938,1220,9,647,35,-,27,53,-,24,3,26,351,135,93,16,83,-,6,16,2,30,-,-,29,1,-,-,-,-,-,-,-,-,-,-,-,-,-,45,10,12,4,15,-,-,-,2,2,-,-,-,-,-,-,-,245,-,-,-,1,1,-,-,-,-,33,-,-,-,-,-,-,-,-,131,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,7,3,-,-,9,-,-,-,6,8,2,1,5,-,16,4,-,-,-,8,-,-,-,-,7
"동종재범",3개월 이내,2768,2390,1679,1034,9,563,37,-,36,63,-,22,1,40,547,227,144,37,106,-,9,24,-,44,1,-,42,1,-,-,-,-,-,-,-,-,-,1,-,-,1,56,13,4,8,21,-,-,-,8,1,1,-,-,-,-,-,-,378,-,-,-,-,2,-,-,-,-,49,-,-,-,-,-,-,-,2,198,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,7,9,1,-,4,-,-,-,17,19,1,1,7,-,33,7,-,-,-,6,-,-,-,-,10
"동종재범",6개월 이내,2106,1731,1115,618,8,407,50,-,32,57,-,19,1,37,488,214,115,16,96,3,15,29,-,30,-,-,28,2,-,-,-,-,-,2,1,-,1,1,-,-,1,38,15,7,4,10,-,-,-,2,-,-,-,-,-,-,-,-,375,-,-,-,-,3,-,-,-,1,59,-,-,-,-,-,-,-,1,193,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,13,10,2,-,3,-,-,-,12,17,-,4,7,-,21,11,-,-,-,5,-,-,-,-,8
"동종재범",1년 이내,3905,3166,2030,1051,8,843,73,-,55,127,-,25,4,98,831,391,240,34,112,-,17,33,4,79,-,-,78,1,-,-,-,-,-,4,2,-,2,1,-,-,1,94,29,15,8,29,-,-,-,13,-,-,-,-,-,-,-,-,739,-,-,-,2,8,-,-,-,1,127,-,-,-,-,-,-,-,-,380,-,6,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,8,10,3,-,5,-,-,-,26,34,-,3,10,-,61,27,-,-,-,14,-,-,-,-,12
"동종재범",2년 이내,1373,1058,476,260,5,150,29,1,31,64,-,19,-,45,447,228,125,18,50,-,13,12,1,34,-,-,34,-,-,-,-,-,-,1,1,-,-,3,1,-,2,33,7,3,5,12,-,-,-,5,-,-,1,-,-,-,-,-,315,-,-,-,2,1,-,-,-,-,73,-,-,-,-,-,-,-,-,132,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,9,5,1,1,1,-,-,1,18,9,-,2,5,-,26,9,-,-,-,7,-,-,-,-,11
"동종재범",3년 이내,741,533,253,122,5,88,24,-,14,20,-,3,1,16,219,122,52,8,15,-,13,8,1,21,-,-,21,-,-,-,-,-,-,1,1,-,-,-,-,-,-,19,5,1,2,7,-,-,-,2,-,-,-,1,-,-,-,1,208,-,-,-,1,1,-,-,-,1,56,-,-,-,-,-,-,-,-,80,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,6,12,-,-,3,-,25,9,-,-,-,3,-,-,-,-,8
"동종재범",3년 초과,244,188,89,31,1,43,5,-,9,8,-,1,-,7,76,44,21,2,7,-,1,1,-,3,-,-,3,-,-,-,-,-,-,2,1,-,1,1,-,-,1,9,2,1,1,2,-,-,-,3,-,-,-,-,-,-,-,-,56,-,-,-,-,1,-,-,-,1,6,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,2,9,-,-,-,-,4,1,-,-,-,-,-,-,-,-,2
"이종재범",소계,13107,10347,6473,3814,43,2142,232,-,242,437,-,85,13,339,2774,1274,770,126,437,6,59,92,10,257,2,-,249,6,-,-,-,-,-,29,22,-,7,15,5,-,10,362,112,24,48,127,-,-,-,41,3,2,2,2,-,-,-,1,2760,-,-,-,13,25,-,-,1,1,441,6,-,-,-,-,-,-,1,1299,1,23,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,62,34,9,3,20,-,-,1,134,133,2,25,63,-,212,84,-,-,-,77,-,-,-,-,81
"이종재범",1개월 이내,2226,1961,1506,1028,4,400,39,-,35,47,-,11,1,35,339,101,112,6,93,-,10,14,3,17,-,-,16,1,-,-,-,-,-,3,2,-,1,-,-,-,-,49,11,3,7,24,-,-,-,3,1,-,-,-,-,-,-,-,265,-,-,-,1,4,-,-,-,-,22,1,-,-,-,-,-,-,-,132,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,8,6,1,-,5,-,-,-,8,15,2,2,9,-,19,2,-,-,-,17,-,-,-,-,8
"이종재범",3개월 이내,2412,2023,1332,863,5,380,42,-,42,68,-,19,5,44,509,233,127,28,94,-,9,18,-,40,-,-,38,2,-,-,-,-,-,2,2,-,-,3,-,-,3,69,15,8,8,29,-,-,-,7,-,-,1,1,-,-,-,-,389,-,-,-,-,5,-,-,-,-,46,1,-,-,-,-,-,-,-,209,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,14,5,3,-,4,-,-,-,7,20,-,6,7,-,31,7,-,-,-,9,-,-,-,-,12
"이종재범",6개월 이내,1926,1574,984,589,6,324,24,-,41,73,-,23,1,49,436,199,117,24,61,2,6,27,-,35,1,-,33,1,-,-,-,-,-,4,2,-,2,3,1,-,2,39,13,2,7,12,-,-,-,4,-,1,-,-,-,-,-,-,352,-,-,-,2,5,-,-,1,-,53,1,-,-,-,-,-,-,-,201,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,-,2,-,-,-,16,10,-,1,8,-,22,7,-,-,-,9,-,-,-,-,4
"이종재범",1년 이내,3948,2998,1791,926,19,700,79,-,67,142,-,20,1,121,849,426,228,38,125,2,14,14,2,91,-,-,90,1,-,-,-,-,-,8,6,-,2,4,1,-,3,113,42,7,14,37,-,-,-,11,1,-,-,-,-,-,-,1,950,-,-,-,6,7,-,-,-,-,163,3,-,-,-,-,-,-,-,421,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,10,2,2,5,-,-,1,50,54,-,9,24,-,66,33,-,-,-,22,-,-,-,-,37
"이종재범",2년 이내,1428,995,472,253,7,156,25,-,31,58,-,11,2,45,370,177,109,19,41,2,10,10,2,36,1,-,35,-,-,-,-,-,-,5,4,-,1,2,1,-,1,52,18,3,8,14,-,-,-,7,-,1,1,-,-,-,-,-,433,-,-,-,3,-,-,-,-,1,85,-,-,-,-,-,-,-,1,180,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,8,4,1,1,2,-,-,-,31,19,-,6,8,-,41,14,-,-,-,14,-,-,-,-,10
"이종재범",3년 이내,795,527,247,103,1,107,15,-,21,30,-,1,2,27,189,98,49,6,20,-,7,6,3,22,-,-,21,1,-,-,-,-,-,5,4,-,1,2,1,-,1,32,9,1,3,10,-,-,-,7,1,-,-,1,-,-,-,-,268,-,-,-,1,2,-,-,-,-,50,-,-,-,-,-,-,-,-,115,-,5,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,4,3,1,-,2,-,-,-,15,11,-,1,3,-,25,17,-,-,-,4,-,-,-,-,6
"이종재범",3년 초과,372,269,141,52,1,75,8,-,5,19,-,-,1,18,82,40,28,5,3,-,3,3,-,16,-,-,16,-,-,-,-,-,-,2,2,-,-,1,1,-,-,8,4,-,1,1,-,-,-,2,-,-,-,-,-,-,-,-,103,-,-,-,-,2,-,-,-,-,22,-,-,-,-,-,-,-,-,41,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,7,4,-,-,4,-,8,4,-,-,-,2,-,-,-,-,4
